0 DOI year last_cited_year
0 10.1109/icsm.2013.29 2013 2025
0 10.1145/2499370.2462195 2013 2025
0 10.1109/ase.2013.6693094 2013 2025
0 10.1145/2593735.2593740 2014 2025
0 10.1145/2568225.2568303 2014 2023
0 10.1145/2610384.2628055 2014 2025
0 10.1145/2568225.2568258 2014 2023
0 10.1145/2610384.2610398 2014 2023
0 10.1145/2578855.2535888 2014 2024
0 10.1145/2591062.2591114 2014 2023
0 10.1145/2568225.2568324 2014 2025
0 10.1145/2568225.2568257 2014 2024
0 10.1109/dsn.2014.25 2014 2024
0 10.1109/tse.2014.2312918 2014 2024
0 10.1145/2786805.2786877 2015 2021
0 10.1109/icse.2015.64 2015 2024
0 10.1109/ase.2015.81 2015 2024
0 10.1109/ase.2015.60 2015 2025
0 10.1007/978-3-319-21668-3_13 2015 2024
0 10.1145/2786805.2786811 2015 2025
0 10.1109/icse.2015.63 2015 2025
0 10.1007/978-3-319-24255-2_32 2015 2021
0 10.1109/icse.2015.100 2015 2025
0 10.1145/2771783.2771791 2015 2025
0 10.1145/2786805.2786825 2015 2025
0 10.1109/icse.2015.65 2015 2025
0 10.1109/tse.2014.2383381 2015 2025
0 10.1109/compsac.2016.69 2016 2024
0 10.1109/saner.2016.76 2016 2025
0 10.1109/icsme.2016.68 2016 2023
0 10.1007/978-3-319-48989-6_36 2016 2025
0 10.1109/dsn-w.2016.64 2016 2022
0 10.1109/ase.2017.8115674 2017 2024
0 10.1109/saner.2017.7884635 2017 2025
0 10.1109/icse-nier.2017.8 2017 2024
0 10.1145/3135932.3135941 2017 2025
0 10.1145/3106237.3106253 2017 2025
0 10.1007/978-3-319-66399-9_13 2017 2024
0 10.1007/s10664-017-9550-0 2017 2025
0 10.1007/978-3-662-54577-5_17 2017 2022
0 10.1145/3106237.3121281 2017 2025
0 10.1109/icse-nier.2017.7 2017 2024
0 10.1145/3106237.3106300 2017 2025
0 10.1145/3106237.3106263 2017 2025
0 10.1109/ase.2017.8115676 2017 2025
0 10.1109/icse.2017.45 2017 2025
0 10.1109/tse.2016.2560811 2017 2025
0 10.1109/icsme.2017.37 2017 2024
0 10.1145/3106237.3106274 2017 2025
0 10.1145/3106237.3106262 2017 2025
0 10.1007/s10664-017-9552-y 2017 2024
0 10.1109/icsme.2017.45 2017 2020
0 10.1145/3183377.3183383 2018 2025
0 10.1109/ijcnn.2018.8489079 2018 2023
0 10.1145/3194810.3194814 2018 2024
0 10.1007/978-3-319-99927-2_1 2018 2021
0 10.1145/3180155.3180219 2018 2025
0 10.1109/issre.2018.00012 2018 2024
0 10.1109/icsme.2018.00066 2018 2023
0 10.1145/3180155.3180181 2018 2025
0 10.1145/3180155.3180245 2018 2025
0 10.1145/3213846.3213871 2018 2025
0 10.1145/3213846.3213870 2018 2025
0 10.1145/3180155.3182536 2018 2025
0 10.1145/3236024.3236079 2018 2025
0 10.1109/apsec.2018.00085 2018 2025
0 10.1109/saner.2018.8330202 2018 2025
0 10.17706/jsw.13.8.437-452 2018 2024
0 10.1145/3180155.3180262 2018 2025
0 10.1109/icst.2018.00030 2018 2025
0 10.1007/978-3-319-99241-9_3 2018 2025
0 10.1145/3241980 2018 2025
0 10.1145/3180155.3180247 2018 2025
